iteration,best_fitness
1,0.15000000000000002
2,0.15000000000000002
3,0.15000000000000002
4,0.09999999999999998
5,0.09999999999999998
6,0.050000000000000044
7,0.050000000000000044
8,0.050000000000000044
9,0.050000000000000044
10,0.050000000000000044
11,0.050000000000000044
12,0.050000000000000044
13,0.050000000000000044
14,0.050000000000000044
15,0.050000000000000044
16,0.050000000000000044
17,0.050000000000000044
18,0.050000000000000044
19,0.050000000000000044
20,0.050000000000000044
21,0.050000000000000044
22,0.050000000000000044
23,0.050000000000000044
24,0.050000000000000044
25,0.050000000000000044
26,0.050000000000000044
27,0.050000000000000044
28,0.050000000000000044
29,0.050000000000000044
30,0.050000000000000044
